,Day of the Week,Amount,Description,Entertainment and Recreation,Debit,Want
1/17/25,Friday,30.06,Gym Memebership,Entertainment and Recreation,Debit,Need
1/17/25,Friday,47.13,Groceries,Food,Debit,Need
1/17/25,Friday,134.32,Dinner,Food,Debit,Want
1/18/25,Saturday,297.86,Birthday Dinner,Food,Debit,Want
1/19,Sunday,24.05,Eggs,Food,Debit,Need
1/19/25,Sunday,23.07,Pizza,Food,Cash,Want
1/20/25,Monday,35.01,Dinner,Food,Debit,Want
1/20/25,Monday,82.51,Birthday ,Food,Debit,Need
1/21,Tuesday,15.00,College,Bills,Debit,Need
1/24,Wednesday,8.66,Lunch,Food,Debit,Want
1/24,Wednesday,300.00,Rent,Bills,Cash,Need
1/25,Thursday,18.62,Lunch,Food,Cash,Want
1/29/25,Wednesday,43.91,Target,Housing,Debit,Want
1/29,Wednesday,21.95,Popeyes,Food,Debit,Want
1/29,Wednesday,100.00,Target,Entertainment and Recreation,Debit,Want
